Datetime,Event,Actual,Forecast,Deviation
2022-06-03 12:30:00,Earnings,0.3,0.4,-0.10000000000000003
2022-06-03 12:30:00,NFP,390000.0,325000.0,65000.0
2022-06-09 12:30:00,Jobless,229000.0,210000.0,19000.0
2022-06-10 12:30:00,CPI,0.6,0.5,0.09999999999999998
2022-06-10 12:30:00,CPI,8.6,8.3,0.29999999999999893
2022-06-10 12:30:00,CPI,1.0,0.7,0.30000000000000004
2022-06-14 12:30:00,PPI,0.8,0.8,0.0
2022-06-15 12:30:00,Retail,-0.3,0.2,-0.5
2022-06-15 12:30:00,Retail,0.5,0.8,-0.30000000000000004
2022-06-15 18:00:00,FedRate,1.75,1.5,0.25
2022-06-16 12:30:00,Jobless,229000.0,215000.0,14000.0
2022-06-23 12:30:00,Jobless,229000.0,227000.0,2000.0
2022-06-29 12:30:00,GDP,-1.6,-1.5,-0.10000000000000009
2022-06-30 12:30:00,Jobless,231000.0,228000.0,3000.0
2022-07-01 14:00:00,ISM,53.0,54.9,-1.8999999999999986
2022-07-07 12:30:00,Jobless,235000.0,230000.0,5000.0
2022-07-08 12:30:00,NFP,372000.0,268000.0,104000.0
2022-07-08 12:30:00,Earnings,0.3,0.3,0.0
2022-07-13 12:30:00,CPI,0.7,0.6,0.09999999999999998
2022-07-13 12:30:00,CPI,9.1,8.8,0.29999999999999893
2022-07-13 12:30:00,CPI,1.3,1.1,0.19999999999999996
2022-07-14 12:30:00,PPI,1.1,0.8,0.30000000000000004
2022-07-14 12:30:00,Jobless,244000.0,235000.0,9000.0
2022-07-15 12:30:00,Retail,1.0,0.6,0.4
2022-07-15 12:30:00,Retail,1.0,0.8,0.19999999999999996
2022-07-21 12:30:00,Jobless,251000.0,240000.0,11000.0
2022-07-27 18:00:00,FedRate,2.5,2.5,0.0
2022-07-28 12:30:00,GDP,-0.9,0.5,-1.4
2022-07-28 12:30:00,Jobless,256000.0,253000.0,3000.0
2022-08-01 14:00:00,ISM,52.8,52.0,0.7999999999999972
2022-08-04 12:30:00,Jobless,260000.0,259000.0,1000.0
2022-08-05 12:30:00,Earnings,0.5,0.3,0.2
2022-08-05 12:30:00,NFP,528000.0,250000.0,278000.0
2022-08-10 12:30:00,CPI,0.0,0.2,-0.2
2022-08-10 12:30:00,CPI,8.5,8.7,-0.1999999999999993
2022-08-10 12:30:00,CPI,0.3,0.5,-0.2
2022-08-11 12:30:00,PPI,-0.5,0.2,-0.7
2022-08-11 12:30:00,Jobless,262000.0,263000.0,-1000.0
2022-08-17 12:30:00,Retail,0.4,-0.1,0.5
2022-08-17 12:30:00,Retail,0.0,0.1,-0.1
2022-08-18 12:30:00,Jobless,250000.0,265000.0,-15000.0
2022-08-25 12:30:00,GDP,-0.6,-0.8,0.20000000000000007
2022-08-25 12:30:00,Jobless,243000.0,253000.0,-10000.0
2022-08-31 12:15:00,ADP,132000.0,300000.0,-168000.0
2022-09-01 12:30:00,Jobless,232000.0,248000.0,-16000.0
2022-09-01 14:00:00,ISM,52.8,52.0,0.7999999999999972
2022-09-02 12:30:00,Earnings,0.3,0.4,-0.10000000000000003
2022-09-02 12:30:00,NFP,315000.0,300000.0,15000.0
2022-09-08 12:30:00,Jobless,222000.0,240000.0,-18000.0
2022-09-13 12:30:00,CPI,0.6,0.3,0.3
2022-09-13 12:30:00,CPI,0.1,-0.1,0.2
2022-09-13 12:30:00,CPI,8.3,8.1,0.20000000000000107
2022-09-14 12:30:00,PPI,-0.1,-0.1,0.0
2022-09-15 12:30:00,Retail,-0.3,0.1,-0.4
2022-09-15 12:30:00,Retail,0.3,0.2,0.09999999999999998
2022-09-15 12:30:00,Jobless,213000.0,226000.0,-13000.0
2022-09-21 18:00:00,FedRate,3.25,3.25,0.0
2022-09-22 12:30:00,Jobless,213000.0,218000.0,-5000.0
2022-09-29 12:30:00,GDP,-0.6,-0.6,0.0
2022-09-29 12:30:00,Jobless,193000.0,215000.0,-22000.0
2022-10-03 14:00:00,ISM,50.9,52.2,-1.3000000000000043
2022-10-05 12:15:00,ADP,208000.0,200000.0,8000.0
2022-10-06 12:30:00,Jobless,219000.0,203000.0,16000.0
2022-10-07 12:30:00,NFP,263000.0,250000.0,13000.0
2022-10-07 12:30:00,Earnings,0.3,0.3,0.0
2022-10-12 12:30:00,PPI,0.4,0.2,0.2
2022-10-13 12:30:00,CPI,0.4,0.2,0.2
2022-10-13 12:30:00,CPI,0.6,0.5,0.09999999999999998
2022-10-13 12:30:00,CPI,8.2,8.1,0.09999999999999964
2022-10-13 12:30:00,Jobless,228000.0,225000.0,3000.0
2022-10-14 12:30:00,Retail,0.1,-0.1,0.2
2022-10-14 12:30:00,Retail,0.0,0.2,-0.2
2022-10-20 12:30:00,Jobless,214000.0,230000.0,-16000.0
2022-10-27 12:30:00,GDP,2.6,2.4,0.20000000000000018
2022-10-27 12:30:00,Jobless,217000.0,220000.0,-3000.0
2022-11-01 14:00:00,ISM,50.2,50.0,0.20000000000000284
2022-11-02 12:15:00,ADP,239000.0,195000.0,44000.0
2022-11-02 18:00:00,FedRate,4.0,4.0,0.0
2022-11-03 12:30:00,Jobless,217000.0,220000.0,-3000.0
2022-11-04 12:30:00,NFP,261000.0,200000.0,61000.0
